category_id,category_title,sub_category_id,sub_category_title
15,"Mobility - Roads, Footpaths and Infrastructure",58,"Management Of Hawkers and Vendors"
15,"Mobility - Roads, Footpaths and Infrastructure",61,"Construction of new footpaths"
15,"Mobility - Roads, Footpaths and Infrastructure",66,"Fixing/Reparing Potholes"
15,"Mobility - Roads, Footpaths and Infrastructure",67,"Tarring Or Asphalting Of Existing Road"
15,"Mobility - Roads, Footpaths and Infrastructure",343,"Construction Of Roadside Drains"
15,"Mobility - Roads, Footpaths and Infrastructure",344,"Desilting Existing Roadside Drains"
15,"Mobility - Roads, Footpaths and Infrastructure",347,"Need Lane Markings/Street Name/Road Signages"
15,"Mobility - Roads, Footpaths and Infrastructure",349,"Need Covering Slabs For Roadside Drains"
15,"Mobility - Roads, Footpaths and Infrastructure",352,"Tarring Or Asphalting Of Mud/Kutcha/Unpaved Road"
15,"Mobility - Roads, Footpaths and Infrastructure",353,"Beautification/Maintenance Of Medians Or Circles"
15,"Mobility - Roads, Footpaths and Infrastructure",354,"Construction Of Skywalk/Flyover/Underpass"
15,"Mobility - Roads, Footpaths and Infrastructure",368,"Installation Of Surveillance Cameras"
15,"Mobility - Roads, Footpaths and Infrastructure",413,"Provision For Parking"
15,"Mobility - Roads, Footpaths and Infrastructure",422,"Repair Of Existing Footpaths"
15,"Mobility - Roads, Public transport",422,"Repair Of Existing Footpaths"
15,"Mobility - Roads, Footpaths and Infrastructure",449,"Maintenance Of Surveillance Cameras"
15,"Mobility - Roads, Footpaths and Infrastructure",450,"Dangling Or Hanging Of OFCs/Cables/Wires"
15,"Mobility - Roads, Footpaths and Infrastructure",451,"Need Roadside Rainwater Harvesting System"
15,"Mobility - Roads, Footpaths and Infrastructure",452,"Repair Of Roadside Rainwater Harvesting System"
15,"Mobility - Roads, Footpaths and Infrastructure",453,"Repair of Bridge and Culverts"
15,"Mobility - Roads, Footpaths and Infrastructure",474,"Removal Of Roadside Debris (Construction Material)"
18,"Storm Water Drains",73,"Maintenance And Repair Of Storm Water Drains"
18,"Storm Water Drains",365,"Sidewall And Fencing For Storm Water Drains"
18,"Storm Water Drains",415,"Desilting/Remove Blockage of Storm Water Drains"
19,"Animal Husbandry",75,"Controlling Of Stray Cattle Or Maintenance Of Cattle Pound"
19,"Animal Husbandry",76,"Removal Of Dead Animals"
19,"Animal Husbandry",77,"Stray Dog Sterilisation/Animal Birth Control (ABC)"
19,"Animal Husbandry",434,"Rabies Vaccination"
19,"Animal Husbandry",435,"Maintenance Of City Meat Production And Processing Centre"
19,"Animal Husbandry",436,"Controlling Of Stray Pigs"
19,"Animal Husbandry",511,Dog
19,"Animal Husbandry",511,"Stray Dog Sterilisation/Animal Birth Control (ABC)"
19,"Animal Husbandry",526,"Controlling Of Stray Pigs"
21,"Traffic and Road Safety",82,"Autorickshaws Meter Issues"
21,"Traffic and Road Safety",84,"Traffic Jams/Congestion Or Bottlenecks"
21,"Traffic and Road Safety",188,"No Parking"
21,"Traffic and Road Safety",189,"One Way/No Entry"
21,"Traffic and Road Safety",190,"Parking On Footpath"
21,"Traffic and Road Safety",191,"Riding On Footpath"
21,"Traffic and Road Safety",192,"Riding Without A Helmet"
21,"Traffic and Road Safety",193,"Defective/Fancy Number Plate"
